,Entity's Name,LOC Count,Header Count,Annotation Count,Inner Entities Lines,Total,Entity Type
,/:org.dbunit.operation.OperationData,27,3,0,0,30,CLASS
,/:org.dbunit.operation.ExclusiveTransactionException,19,2,0,0,21,CLASS
,/:org.dbunit.operation.AbstractBatchOperation,122,18,0,0,140,CLASS
,/:org.dbunit.operation.DatabaseOperation,20,5,0,6,31,CLASS
,/:org.dbunit.operation.DatabaseOperation$DummyOperation,6,0,0,0,6,INNER_CLASS
,/:org.dbunit.operation.TransactionOperation,45,8,0,0,53,CLASS
,/:org.dbunit.operation.InsertOperation,83,9,0,0,92,CLASS
,/:org.dbunit.DatabaseUnitException,24,1,0,0,25,CLASS
,/:org.dbunit.JdbcBasedDBTestCase,32,3,0,0,35,CLASS
,/:org.dbunit.VerifyTableDefinition,46,2,0,0,48,CLASS
,/:org.dbunit.DBTestCase,20,4,0,0,24,CLASS
,/:org.dbunit.JndiDatabaseTester,59,10,0,0,69,CLASS
,/:org.dbunit.JdbcDatabaseTester,55,7,0,0,62,CLASS
,/:org.dbunit.ant.Table,24,3,0,0,27,CLASS
,/:org.dbunit.ant.DbUnitTaskStep,5,3,0,0,8,INTERFACE
,/:org.dbunit.ant.DbConfig,42,11,0,17,70,CLASS
,/:org.dbunit.ant.DbConfig$Feature,17,0,0,0,17,INNER_CLASS
,/:org.dbunit.ant.Compare,107,15,0,0,122,CLASS
,/:org.dbunit.ant.Export,166,23,0,0,189,CLASS
,/:org.dbunit.ant.Query,35,3,0,0,38,CLASS
,/:org.dbunit.ant.AbstractStep,170,31,0,0,201,CLASS
,/:org.dbunit.ant.DbUnitTask,327,22,0,0,349,CLASS
,/:org.dbunit.ant.QuerySet,78,13,0,0,91,CLASS
,/:org.dbunit.ant.Operation,143,14,0,0,157,CLASS
,/:org.dbunit.Assertion,53,8,0,0,61,CLASS
,/:org.dbunit.JndiBasedDBTestCase,21,4,0,0,25,CLASS
,/:org.dbunit.IDatabaseTester,13,4,0,0,17,INTERFACE
,/:org.dbunit.DefaultPrepAndExpectedTestCase,223,13,0,0,236,CLASS
,/:org.dbunit.util.QualifiedTableName,124,5,0,0,129,CLASS
,/:org.dbunit.util.CollectionsHelper,34,5,0,0,39,CLASS
,/:org.dbunit.util.Base64,350,4,0,183,537,CLASS
,/:org.dbunit.util.Base64$InputStream,104,0,0,0,104,INNER_CLASS
,/:org.dbunit.util.Base64$OutputStream,79,0,0,0,79,INNER_CLASS
,/:org.dbunit.util.SQLHelper,373,16,0,17,406,CLASS
,/:org.dbunit.util.SQLHelper$ExceptionWrapper,17,0,0,0,17,INNER_CLASS
,/:org.dbunit.util.TableFormatter,82,5,0,0,87,CLASS
,/:org.dbunit.util.fileloader.CsvDataFileLoader,15,7,0,0,22,CLASS
,/:org.dbunit.util.fileloader.XlsDataFileLoader,16,8,0,0,24,CLASS
,/:org.dbunit.util.fileloader.FullXmlDataFileLoader,16,8,0,0,24,CLASS
,/:org.dbunit.util.fileloader.DataFileLoader,7,4,0,0,11,INTERFACE
,/:org.dbunit.util.fileloader.AbstractDataFileLoader,77,12,0,0,89,CLASS
