projectName; entityName; pattern; metricValue; NOM; NOF; NORM; NSM; NSF; WMC; DIT; NSC; LCOM; SIX; 
collections-3.2.1; org.apache.commons.collections.list.GrowthList; factory; 4; 6.000000; 0.000000; 3.000000; 1.000000; 1.000000; 10.000000; 4.000000; 0.000000; 0.000000; 2.000000; 
collections-3.2.1; org.apache.commons.collections.functors.InstanceofPredicate; factory; 5; 3.000000; 1.000000; 0.000000; 1.000000; 1.000000; 5.000000; 1.000000; 0.000000; 0.000000; 0.000000; 
collections-3.2.1; org.apache.commons.collections.functors.NOPTransformer; factory; 3; 2.000000; 0.000000; 0.000000; 1.000000; 2.000000; 3.000000; 1.000000; 0.000000; 0.000000; 0.000000; 
collections-3.2.1; org.apache.commons.collections.collection.UnmodifiableCollection; factory; 4; 8.000000; 0.000000; 7.000000; 1.000000; 1.000000; 10.000000; 3.000000; 0.000000; 0.000000; 2.625000; 
collections-3.2.1; org.apache.commons.collections.buffer.TypedBuffer; factory; 4; 1.000000; 0.000000; 0.000000; 1.000000; 0.000000; 2.000000; 1.000000; 0.000000; 0.000000; 0.000000; 
collections-3.2.1; org.apache.commons.collections.iterators.TestArrayIterator2; factory; 5; 11.000000; 1.000000; 1.000000; 1.000000; 0.000000; 24.000000; 6.000000; 1.000000; 0.000000; 0.545000; 
collections-3.2.1; org.apache.commons.collections.bag.TypedSortedBag; factory; 5; 1.000000; 0.000000; 0.000000; 1.000000; 0.000000; 2.000000; 1.000000; 0.000000; 0.000000; 0.000000; 
collections-3.2.1; org.apache.commons.collections.buffer.SynchronizedBuffer; factory; 3; 5.000000; 0.000000; 0.000000; 1.000000; 1.000000; 6.000000; 2.000000; 2.000000; 0.000000; 0.000000; 
collections-3.2.1; org.apache.commons.collections.MapUtils; factory; 9; 1.000000; 0.000000; 0.000000; 68.000000; 3.000000; 151.000000; 1.000000; 0.000000; 0.000000; 0.000000; 
collections-3.2.1; org.apache.commons.collections.functors.OrPredicate; factory; 3; 3.000000; 2.000000; 0.000000; 1.000000; 1.000000; 6.000000; 1.000000; 0.000000; 0.000000; 0.000000; 
collections-3.2.1; org.apache.commons.collections.map.UnmodifiableSortedMap; factory; 5; 16.000000; 0.000000; 10.000000; 1.000000; 1.000000; 18.000000; 3.000000; 0.000000; 0.000000; 1.875000; 
collections-3.2.1; org.apache.commons.collections.buffer.PredicatedBuffer; factory; 6; 4.000000; 0.000000; 0.000000; 1.000000; 1.000000; 5.000000; 4.000000; 0.000000; 0.000000; 0.000000; 
collections-3.2.1; org.apache.commons.collections.functors.TransformerClosure; factory; 3; 3.000000; 1.000000; 0.000000; 1.000000; 1.000000; 5.000000; 1.000000; 0.000000; 0.000000; 0.000000; 
collections-3.2.1; org.apache.commons.collections.functors.PredicateTransformer; factory; 4; 3.000000; 1.000000; 0.000000; 1.000000; 1.000000; 6.000000; 1.000000; 0.000000; 0.000000; 0.000000; 
collections-3.2.1; org.apache.commons.collections.functors.SwitchTransformer; factory; 5; 5.000000; 3.000000; 0.000000; 2.000000; 1.000000; 17.000000; 1.000000; 0.000000; 0.500000; 0.000000; 
collections-3.2.1; org.apache.commons.collections.functors.NonePredicate; factory; 7; 3.000000; 1.000000; 0.000000; 2.000000; 1.000000; 9.000000; 1.000000; 0.000000; 0.000000; 0.000000; 
